Title,IMDb ID
" The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771
 The Karate Kid,tt1155076
 The Little Mermaid,tt5971474
 Fantastic Beasts: The Crimes of Grindelwald,tt4123430
 Fantastic Beasts and Where to Find Them,tt3183660
 Tomorrowland,tt1964418
 Oz the Great and Powerful,tt1623205
 The Parent Trap,tt0120783
 Meet Joe Black,tt0119643
 It Chapter Two,tt7349950
 The Hobbit: The Desolation of Smaug,tt1170358
 Eternals,tt9032400
 Doctor Sleep,tt5606664
 Star Wars: Episode VIII - The Last Jedi,tt2527336
 Pirates of the Caribbean: Dead Man's Chest,tt0383574
 Wonder Woman 1984,tt7126948
 The Thin Red Line,tt0120863
 The Good Shepherd,tt0343737
 Munich,tt0408306
 Silence,tt0490215
 The Last Duel,tt4244994
 Grindhouse,tt0462322
 Army of the Dead,tt0993840
 A Cure for Wellness,tt4731136
 The Substance,tt17526714
 Twin Peaks: Fire Walk with Me,tt0105665
 The Conjuring 2,tt3065204
 Nosferatu,tt5040012
 Bone Tomahawk,tt2494362
 Nope,tt10954984
 What Lies Beneath,tt0161081
 The Mortal Instruments: City of Bones,tt1538403
 Glass,tt6823368
 Bram Stoker's Dracula,tt0103874
 The Pale Blue Eye,tt14138650
 Hereditary,tt7784604
 The Mist,tt0884328
 Silent Hill,tt0384537
 Tár,tt14444726
 The Doors,tt0101761
 The Bodyguard,tt0103855
 Yesterday,tt8079248
 West Side Story,tt0055614
 The Phantom of the Opera,tt0293508
 Joker: Folie à Deux,tt11315808
 The Ballad of Buster Scruggs,tt6412452
 Into the Woods,tt2180411
 Hairspray,tt0427327
 Cloud Atlas,tt1371111
 Solyaris,tt0069293
 Watchmen,tt0409459
 Eyes Wide Shut,tt0120663
 Zodiac,tt0443706
 The Firm,tt0106918
 Män som hatar kvinnor,tt1132620
 Contact,tt0118884
 The Da Vinci Code,tt0382625
 Mulholland Dr,tt0166924
 La vie d'Adèle,tt2278871
 The English Patient,tt0116209
 Cold Mountain,tt0159365
 Lolita,tt0056193
 Memoirs of a Geisha,tt0397535
 Unbroken,tt1809398
 Coach Carter,tt0393162
 Gran Turismo,tt4495098
 Challengers,tt16426418
 The Hunger Games: The Ballad of Songbirds & Snakes,tt10545296
 Jackie Brown,tt0119396
 Empire of the Sun,tt0092965
 Hostiles,tt5478478
 9,tt0472033
 Lola rennt,tt0130827
 Kôkaku Kidôtai,tt0113568
 Grimsby,tt3381008
 Hot Shots!,tt0102059
 Flushed Away,tt0424095
 Walking Tall,tt0351977
 Shoot 'Em Up,tt0465602
 Priest,tt0822847
 Transporter 2,tt0388482
 Mad Max,tt0079501
 Men in Black II,tt0120912
 Spy Kids,tt0227538
 Jumper,tt0489099
 Crank,tt0479884
 Hansel & Gretel: Witch Hunters,tt1428538
 Attack the Block,tt1478964
 Lucy,tt2872732
 The Land Before Time,tt0095489
 The Emperor's New Groove,tt0120917
 The Jungle Book,tt0061852
 The AristoCats,tt0065421
 One Hundred and One Dalmatians,tt0055254
 Pocahontas,tt0114148
 Snow White and the Seven Dwarfs,tt0029583
 Over the Hedge,tt0327084
 Robin Hood,tt0070608
 Antz,tt0120587
 Pâfekuto burû,tt0156887
 127 Hours,tt1542344
 Sully,tt3263904
 A Dangerous Method,tt1571222
 Charlie Wilson's War,tt0472062
 The Basketball Diaries,tt0112461
 The Disaster Artist,tt3521126
 October Sky,tt0132477
 Monster,tt0340855
 Bombshell,tt6394270
" Extremely Wicked, Shockingly Evil and Vile",tt2481498
 Bonnie and Clyde,tt0061418
 Carnage,tt1692486
 Army of Darkness,tt0106308
 Brüno,tt0889583
 The Dictator,tt1645170
 Scary Movie 2,tt0257106
