Movie Year,Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,is_english,actor_popularity,writer_popularity,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2017,129,172558876,6.5,30,39,356943,5,Spring,0,3,1,29,21,2,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,147,220159104,7.7,98,87,391467,7,Summer,0,4,1,40,13,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,158,166112167,5.8,40,49,407288,11,Fall,1,10,1,16,5,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,130,238679850,7.0,71,61,424252,5,Spring,0,6,1,27,14,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,122,317101119,6.2,77,65,498672,5,Spring,0,27,1,29,17,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,119,324591735,7.6,84,66,700755,5,Spring,0,5,1,20,14,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,127,374337514,7.5,93,83,731533,6,Summer,0,9,1,12,11,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,108,363070709,8.0,85,65,1184064,2,Winter,0,2,1,16,13,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,121,460998507,8.6,93,90,1493579,5,Spring,0,5,1,14,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,163,160891007,7.3,83,68,458134,10,Fall,0,1,1,14,15,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,121,333718600,8.0,92,76,1306633,8,Summer,0,4,1,19,8,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,176,369345583,7.8,85,72,855531,3,Spring,0,4,1,5,7,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
