Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,actor_popularity,writer_popularity,is_english,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
132,233921534,7.9,90,75,764434,5,1,0,9,27,14,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,291710957,6.9,75,75,439862,12,3,1,4,5,8,1,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,268492764,7.2,80,65,404200,6,2,0,2,17,6,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,281576461,7.2,74,62,644194,5,1,0,12,25,13,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,293004164,8.3,98,88,1166741,7,2,0,5,3,8,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,465905925,8.0,88,73,110145,11,0,1,7,7,6,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
143,173005945,5.2,59,58,169187,6,2,0,6,24,4,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,3695533,7.4,88,54,8872,7,2,0,1,3,4,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,274092705,7.7,96,96,877210,10,0,0,2,27,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
142,203605622,6.6,50,53,554566,5,1,0,3,26,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166,282144358,8.5,92,79,592761,3,1,0,6,15,3,1,1,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,259766572,7.7,90,70,921656,4,1,0,10,39,18,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,281287133,4.9,26,45,259828,11,0,1,4,16,8,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,297816253,4.8,28,44,306498,11,0,1,3,16,8,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,208545589,7.6,91,79,496491,7,2,0,4,10,15,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,319246193,7.1,57,61,689957,7,2,0,13,14,13,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
